Test Case,Device,Renderer,Sample No.,Frame Intervals (ms),,,,Frame Rate,,Label,,
,,,,Min,Max,Range,Avg,,,,,
1 - Typical,Laptop,Naive,1,2,8,6,4.311,231.96,,Laptop - Naive,,
,,,2,2,9,7,4.428,225.84,,Laptop - Naive,,
,,,3,2,18,16,4.366,229.04,,Laptop - Naive,,
1 - Typical,Desktop,Naive,1,0,11,11,0.741,1349.53,,Desktop - Naive,,
,,,2,0,3,3,0.678,1474.93,,Desktop - Naive,,
,,,3,0,3,3,0.683,1464.13,,Desktop - Naive,,
1 - Typical,Laptop,Multi-Pass,1,3,10,7,6.124,163.29,,Laptop - Multi-Pass,,
,,,2,2,10,8,5.822,171.76,,Laptop - Multi-Pass,,
,,,3,0,4,4,1.458,685.87,,Laptop - Multi-Pass,,
1 - Typical,Desktop,Multi-Pass,1,0,4,4,1.448,690.61,,Desktop - Multi-Pass,,
,,,2,0,6,6,1.527,654.88,,Desktop - Multi-Pass,,
,,,3,0,17,17,1.558,641.85,,Desktop - Multi-Pass,,
1 - Typical,Laptop,Layered-Compose,1,7,14,7,9.424,106.11,,Laptop - Layered-Compose,,
,,,2,7,13,6,9.369,106.73,,Laptop - Layered-Compose,,
,,,3,6,14,8,9.443,105.90,,Laptop - Layered-Compose,,
1 - Typical,Desktop,Layered-Compose,1,1,6,5,2.201,454.34,,Desktop - Layered-Compose,,
,,,2,1,4,3,2.092,478.01,,Desktop - Layered-Compose,,
,,,3,1,4,3,2.094,477.55,,Desktop - Layered-Compose,,
2 - Standard Corridor,Laptop,Naive,1,3,11,8,5.856,170.77,,Laptop - Naive,,
,,,2,3,10,7,5.868,170.42,,Laptop - Naive,,
,,,3,3,10,7,5.932,168.58,,Laptop - Naive,,
2 - Standard Corridor,Desktop,Naive,1,0,4,4,0.763,1310.62,,Desktop - Naive,,
,,,2,0,3,3,0.755,1324.50,,Desktop - Naive,,
,,,3,0,16,16,0.788,1269.04,,Desktop - Naive,,
2 - Standard Corridor,Laptop,Multi-Pass,1,8,15,7,11.015,90.79,,Laptop - Multi-Pass,,
,,,2,4,25,21,12.01,83.26,,Laptop - Multi-Pass,,
,,,3,7,18,11,11.018,90.76,,Laptop - Multi-Pass,,
2 - Standard Corridor,Desktop,Multi-Pass,1,0,4,4,5.858,170.71,,Desktop - Multi-Pass,,
,,,2,0,3,3,1.488,672.04,,Desktop - Multi-Pass,,
,,,3,0,17,17,1.469,680.74,,Desktop - Multi-Pass,,
2 - Standard Corridor,Laptop,Layered-Compose,1,11,19,8,13.823,72.34,,Laptop - Layered-Compose,,
,,,2,11,18,7,13.925,71.81,,Laptop - Layered-Compose,,
,,,3,11,17,6,13.772,72.61,,Laptop - Layered-Compose,,
2 - Standard Corridor,Desktop,Layered-Compose,1,1,5,4,2.139,467.51,,Desktop - Layered-Compose,,
,,,2,1,10,9,2.223,449.84,,Desktop - Layered-Compose,,
,,,3,1,4,3,2.099,476.42,,Desktop - Layered-Compose,,
3 - Recursive Corridor,Laptop,Naive,1,2,7,5,4.066,245.94,,Laptop - Naive,,
,,,2,2,8,6,4.087,244.68,,Laptop - Naive,,
,,,3,1,9,8,4.09,244.50,,Laptop - Naive,,
3 - Recursive Corridor,Desktop,Naive,1,0,3,3,0.652,1533.74,,Desktop - Naive,,
,,,2,0,3,3,0.697,1434.72,,Desktop - Naive,,
,,,3,0,3,3,0.646,1547.99,,Desktop - Naive,,
3 - Recursive Corridor,Laptop,Multi-Pass,1,5,12,7,8.123,123.11,,Laptop - Multi-Pass,,
,,,2,4,13,9,8.082,123.73,,Laptop - Multi-Pass,,
,,,3,5,12,7,8.145,122.77,,Laptop - Multi-Pass,,
3 - Recursive Corridor,Desktop,Multi-Pass,1,0,4,4,1.460,684.93,,Desktop - Multi-Pass,,
,,,2,0,10,10,1.582,632.11,,Desktop - Multi-Pass,,
,,,3,0,3,3,1.453,688.23,,Desktop - Multi-Pass,,
3 - Recursive Corridor,Laptop,Layered-Compose,1,8,14,6,10.309,97.00,,Laptop - Layered-Compose,,
,,,2,8,15,7,10.425,95.92,,Laptop - Layered-Compose,,
,,,3,8,18,10,11.172,89.51,,Laptop - Layered-Compose,,
3 - Recursive Corridor,Desktop,Layered-Compose,1,1,6,5,2.260,442.48,,Desktop - Layered-Compose,,
,,,2,1,12,11,2.114,473.04,,Desktop - Layered-Compose,,
,,,3,1,4,3,2.099,476.42,,Desktop - Layered-Compose,,
4 - Occuded Room,Laptop,Naive,1,1,8,7,4.121,242.66,,Laptop - Naive,,
,,,2,1,7,6,4.142,241.43,,Laptop - Naive,,
,,,3,1,8,7,4.230,236.41,,Laptop - Naive,,
